text,label,notes
"People saying Jokic has declined aren't watching closely. His assists per game are up while his usage dropped two points, so he's generating more offense on lower volume. The team's half-court points-per-possession is top five with him on and bottom ten when he sits — that's a roster problem, not a Jokic problem.",analysis,
"The reason Boston torched the Knicks is the switch-everything scheme. Put a center on Tatum at the arc and you've got a guard on Porzingis in the post; you lose both matchups at once. They stopped switching late and the deficit shrank from 18 to 6 — the scheme isn't broken, the personnel can't execute it against that length.",analysis,
"Look at SGA's shot profile before calling him a midrange chucker. Over half his attempts come at the rim or the line, and he's shooting 90 percent from the stripe on ten free throws a game. The midrange is a counter, not the foundation — that's why his true shooting sits above 63 percent despite low three-point volume.",analysis,
"The Wolves defense falls apart in the half court when Gobert is dropped into deep coverage against pull-up shooters. Teams are hunting him in pick-and-roll and shooting 41 percent on those above-the-break threes. The fix is having him show higher, but then you lose his rim protection — it's a genuine scheme tradeoff, not effort.",analysis,
"Comparing this Celtics team to the 2008 group misses how much the league changed. They take 42 threes a game versus that team's 18, and their spacing forces closeouts the old roster never generated. Different eras reward different builds; the volume shooting is a feature of the rules, not a gimmick.",analysis,
"Embiid's foul-drawing isn't luck, it's technique. He initiates contact on the gather and gets into defenders' chests before the shot, which is why his free-throw rate is among the highest for any center in the last decade. Refs can call it tighter, but the method is repeatable and it's a real skill.",analysis,
"The Thunder's defense is elite because of their point-of-attack pressure, not size. They force the third-most turnovers in the league and convert them into the most transition points, so the offense feeds off the defense. Strip out the steals and their half-court rating is just average — the turnovers are the engine.",analysis,
"Curry's gravity is measurable. When he's off the ball running around screens, his teammates shoot a noticeably higher percentage on open looks because two defenders chase him. The lineup data shows the offense drops over ten points per 100 when he sits — that's not narrative, that's the on-off.",analysis,
"Calling Ja a volume scorer ignores his rim pressure. He draws help on nearly every drive, and the corner three rate for the team spikes when he's the ball handler because defenses collapse. His assist numbers undersell the gravity because a lot of his passes are the hockey assist that doesn't show up.",analysis,
"The Lakers' problem is bench scoring, not the stars. Their starting five has a positive net rating, but the second unit gets outscored by double digits per 100 possessions. Fix the non-LeBron minutes and you fix the team — the top end is fine, the depth is the leak.",analysis,
"Wembanyama changes shots without blocking them. Opponents are shooting noticeably worse at the rim when he's the primary defender even on attempts he doesn't contest cleanly, because guys alter their release. The block totals get the headlines but the deterrence is the bigger defensive value.",analysis,
"Tatum's playoff dip is real but overstated. His efficiency drops because defenses load up and force him into tougher pull-ups, but his playmaking actually improves — his assist rate climbs in the postseason. He's adjusting to coverage, not shrinking; the volume scoring just gets harder when the game slows down.",analysis,
"The Pacers run the fastest pace in the league and it inflates their counting stats. Per possession they're a middling offense, but the sheer number of possessions makes the per-game points look elite. Adjust for pace and the efficiency tells a more modest story — it's a tempo effect.",analysis,
